Added Component: Designator=R166(R_0402)
Added Component: Designator=R167(R_0402)
Added Component: Designator=R168(R_0402)
Added Pin To Net: NetName=SOC_EMU0 Pin=R166-1
Added Pin To Net: NetName=3V3 Pin=R166-2
Added Pin To Net: NetName=SOC_EMU1 Pin=R167-1
Added Pin To Net: NetName=3V3 Pin=R167-2
Added Pin To Net: NetName=GND Pin=R168-1
Added Pin To Net: NetName=SOC_TRSTN Pin=R168-2
Add Class: Class already exists: Designator
Add Class: Class already exists: Designator
Add Class: Class already exists: Designator
Add Class: Class already exists: Designator
Add Class: Class already exists: Designator
Add Class: Class already exists: Designator
Add Class: Class already exists: Designator
Add Class: Class already exists: Designator
Add Class: Class already exists: Designator
Add Class: Class already exists: Designator
Add Class: Class already exists: Designator
Add Class: Class already exists: Designator
Add Class: Class already exists: Designator
Add Class: Class already exists: Designator
